Entry Date,Exit Date,Ticker,PnL %,PnL $,Entry Price,Exit Price
2021-05-21,2021-05-28,NVDA,8.355614973262027,13.786764705882353,14.96,16.21
2021-05-24,2021-06-10,ADBE,7.623237314692055,8.007201841204116,497.82,535.77
2021-05-26,2021-06-16,DIS,-1.0788237341221474,-1.7958999104805804,172.41,170.55
2021-05-26,2021-06-16,TSLA,-2.3501477927993397,-3.9122519065997987,206.37,201.52
2021-06-22,2021-07-01,HD,2.8654634356798825,4.797154639784738,278.14,286.11
2021-06-30,2021-07-08,BAC,-5.919258046917609,-6.652771419719945,36.66,34.49
2021-06-28,2021-07-08,WFC,-7.615083251714017,-12.756150088232774,40.84,37.73
2021-06-23,2021-07-12,DIS,5.140623176566694,8.60151651091912,171.38,180.19
2021-06-25,2021-07-12,UNH,2.796846508634565,4.696296859821034,372.92,383.35
2021-06-28,2021-07-19,INTC,-4.961977186311783,-8.311888869860134,52.6,49.99
2021-07-01,2021-07-19,JPM,-5.904459059044598,-0.0032042012821023817,138.37,130.2
2021-07-22,2021-07-23,INTC,-5.193283873486909,-8.61921613620485,51.22,48.56
2021-07-29,2021-08-11,BAC,8.488372093023266,13.978280458925918,34.4,37.32
2021-07-29,2021-08-11,JPM,5.356747583560839,5.880838653953492,135.53,142.79
2021-07-29,2021-08-18,XOM,-6.342451874366772,-10.444472759388985,49.35,46.22
2021-08-26,2021-09-16,XOM,1.955727487642367,3.248225340182569,46.53,47.44
2021-09-24,2021-09-27,BAC,2.681890600106218,4.467360971678568,37.66,38.67
2021-09-24,2021-09-27,JPM,2.4158936729890446,2.6828509475141593,144.46,147.95
2021-09-24,2021-09-30,ORCL,-3.1524057833609787,-5.251121937234443,84.38,81.72
2021-10-08,2021-10-15,UNH,4.8045343786418115,8.016842559540326,377.56,395.7
2021-10-08,2021-10-19,MSFT,4.554734248504055,7.60002624460885,284.1,297.04
2021-10-13,2021-10-25,ADBE,9.436674502376086,10.28217640150875,591.31,647.11
2021-10-08,2021-10-29,DIS,-4.309545875810938,-7.190905104785465,172.64,165.2
2021-10-11,2021-11-01,GOOGL,3.2735718951876214,3.701132470830072,137.77,142.28
2021-10-11,2021-11-01,PG,0.8563952105304917,1.4227929137718078,126.11,127.19
2021-11-01,2021-11-22,META,3.368453198961685,5.741014346507251,327.45,338.48
2021-12-06,2021-12-13,JNJ,3.3990011098779194,5.822349169302451,144.16,149.06
2021-12-10,2021-12-13,ORCL,-1.6564861786934504,-2.8441357189256826,96.59,94.99
2021-12-10,2021-12-31,META,1.9834357140674275,3.4054979951728037,327.21,333.7
2021-12-10,2021-12-31,WFC,-4.518272425249171,-7.757734509215136,45.15,43.11
